word_x1,word_y1,word_x2,word_y2,word,word_conf,page_number,id,line_index,line_x1,line_y1,line_x2,line_y2
667,1973,828,2005,TONER,96,1,175,19.0,230,1969,3368,2019
844,1973,1116,2005,CARTRIDGE,95,1,176,19.0,230,1969,3368,2019
1134,1973,1331,2005,MAGNET,96,1,177,19.0,230,1969,3368,2019
1346,1973,1594,2005,CHANGING,96,1,178,19.0,230,1969,3368,2019
1906,1973,2002,2006,8443,96,1,179,19.0,230,1969,3368,2019
2172,1973,2194,2005,2,96,1,180,19.0,230,1969,3368,2019
2313,1973,2404,2005,PCS,95,1,181,19.0,230,1969,3368,2019
2409,1969,2451,2019,|,94,1,182,19.0,230,1969,3368,2019
2483,1973,2621,2005,275.00,94,1,183,19.0,230,1969,3368,2019
2915,1973,2961,2005,18,96,1,184,19.0,230,1969,3368,2019
3230,1973,3368,2005,550.00,96,1,185,19.0,230,1969,3368,2019
230,2067,252,2099,6,96,1,186,20.0,230,2067,3368,2099
380,2067,538,2099,C01680,90,1,187,20.0,230,2067,3368,2099
593,2067,688,2099,|FILE,90,1,188,20.0,230,2067,3368,2099
706,2067,856,2099,DIVIDE,95,1,189,20.0,230,2067,3368,2099
873,2067,1001,2099,PACK,95,1,190,20.0,230,2067,3368,2099
1017,2067,1078,2099,OF,96,1,191,20.0,230,2067,3368,2099
1095,2067,1168,2099,100,96,1,192,20.0,230,2067,3368,2099
1906,2067,2007,2099,4820,96,1,193,20.0,230,2067,3368,2099
2159,2067,2207,2099,20,96,1,194,20.0,230,2067,3368,2099
2313,2067,2404,2099,PCS,95,1,195,20.0,230,2067,3368,2099
2495,2067,2608,2099,80.00,96,1,196,20.0,230,2067,3368,2099
2915,2067,2961,2099,18,96,1,197,20.0,230,2067,3368,2099
3205,2067,3368,2099,1600.00,96,1,198,20.0,230,2067,3368,2099
230,2160,252,2192,7,96,1,199,21.0,230,2160,3368,2193
454,2177,466,2183,-,91,1,200,21.0,230,2160,3368,2193
593,2160,748,2192,PAPER,96,1,201,21.0,230,2160,3368,2193
764,2160,858,2192,CUP,96,1,202,21.0,230,2160,3368,2193
876,2160,949,2192,150,96,1,203,21.0,230,2160,3368,2193
966,2160,1029,2192,ML,96,1,204,21.0,230,2160,3368,2193
1906,2160,2007,2193,4823,96,1,205,21.0,230,2160,3368,2193
2146,2160,2217,2192,500,96,1,206,21.0,230,2160,3368,2193
2313,2160,2404,2192,PCS,95,1,207,21.0,230,2160,3368,2193
2509,2160,2596,2192,0.80,96,1,208,21.0,230,2160,3368,2193
2915,2160,2961,2192,18,96,1,209,21.0,230,2160,3368,2193
3229,2160,3368,2192,400.00,96,1,210,21.0,230,2160,3368,2193
229,2254,252,2286,8,96,1,211,22.0,229,2250,3368,2300
454,2271,466,2277,-,91,1,212,22.0,229,2250,3368,2300
592,2254,825,2286,GARBAGE,96,1,213,22.0,229,2250,3368,2300
842,2254,939,2286,BAG,95,1,214,22.0,229,2250,3368,2300
957,2254,1088,2286,29X39,95,1,215,22.0,229,2250,3368,2300
1105,2254,1182,2286,BIG,96,1,216,22.0,229,2250,3368,2300
1906,2254,2007,2287,3923,96,1,217,22.0,229,2250,3368,2300
2172,2254,2194,2286,5,97,1,218,22.0,229,2250,3368,2300
2315,2250,2404,2300,PKT,91,1,219,22.0,229,2250,3368,2300
2495,2250,2608,2300,45.00,96,1,220,22.0,229,2250,3368,2300
2915,2254,2961,2286,18,96,1,221,22.0,229,2250,3368,2300
3230,2254,3368,2286,225.00,95,1,222,22.0,229,2250,3368,2300
230,2348,252,2380,9,96,1,223,23.0,230,2348,3368,2381
454,2365,466,2371,-,92,1,224,23.0,230,2348,3368,2381
593,2348,775,2380,NATRAJ,91,1,225,23.0,230,2348,3368,2381
794,2348,990,2380,PENCILS,96,1,226,23.0,230,2348,3368,2381
1907,2348,2007,2381,9609,96,1,227,23.0,230,2348,3368,2381
2159,2348,2205,2380,50,96,1,228,23.0,230,2348,3368,2381
2313,2348,2404,2380,PCS,95,1,229,23.0,230,2348,3368,2381
2508,2348,2596,2381,3.60,96,1,230,23.0,230,2348,3368,2381
2915,2348,2962,2380,12,96,1,231,23.0,230,2348,3368,2381
3231,2348,3368,2381,180.00,96,1,232,23.0,230,2348,3368,2381
218,2441,264,2473,10,96,1,233,24.0,218,2441,3368,2474
454,2458,466,2464,-,92,1,234,24.0,218,2441,3368,2474
592,2441,753,2473,CAMEL,96,1,235,24.0,218,2441,3368,2474
770,2441,1061,2473,PERMANENT,95,1,236,24.0,218,2441,3368,2474
1077,2441,1276,2473,MARKER,95,1,237,24.0,218,2441,3368,2474
1907,2441,2007,2473,9608,95,1,238,24.0,218,2441,3368,2474
2171,2441,2194,2473,5,96,1,239,24.0,218,2441,3368,2474
2313,2441,2404,2473,PCS,95,1,240,24.0,218,2441,3368,2474
2496,2441,2608,2473,23.00,96,1,241,24.0,218,2441,3368,2474
2915,2441,2962,2473,12,96,1,242,24.0,218,2441,3368,2474
3231,2441,3368,2474,115.00,96,1,243,24.0,218,2441,3368,2474
218,2535,266,2567,11,96,1,244,25.0,218,2535,3368,2567
454,2552,466,2558,-,92,1,245,25.0,218,2535,3368,2567
590,2535,758,2567,WATER,95,1,246,25.0,218,2535,3368,2567
774,2535,969,2567,SPONGE,96,1,247,25.0,218,2535,3368,2567
1906,2535,2007,2567,3926,96,1,248,25.0,218,2535,3368,2567
2160,2535,2206,2567,16,96,1,249,25.0,218,2535,3368,2567
2313,2535,2404,2567,PCS,95,1,250,25.0,218,2535,3368,2567
2508,2535,2596,2567,4.00,96,1,251,25.0,218,2535,3368,2567
2915,2535,2962,2567,12,96,1,252,25.0,218,2535,3368,2567
3256,2535,3368,2567,64.00,96,1,253,25.0,218,2535,3368,2567
218,2629,265,2661,12,96,1,254,26.0,218,2625,3368,2675
380,2629,538,2661,C01698,90,1,255,26.0,218,2625,3368,2675
593,2629,766,2661,|BROWN,91,1,256,26.0,218,2625,3368,2675
783,2629,905,2661,TAPE,96,1,257,26.0,218,2625,3368,2675
919,2629,1129,2661,WONDER,96,1,258,26.0,218,2625,3368,2675
1144,2629,1188,2661,"2""",94,1,259,26.0,218,2625,3368,2675
1906,2629,2007,2662,3926,96,1,260,26.0,218,2625,3368,2675
2160,2629,2207,2661,12,96,1,261,26.0,218,2625,3368,2675
2313,2629,2404,2661,PCS,95,1,262,26.0,218,2625,3368,2675
2495,2625,2608,2675,38.00,96,1,263,26.0,218,2625,3368,2675
2915,2629,2961,2661,18,96,1,264,26.0,218,2625,3368,2675
3229,2629,3368,2661,456.00,95,1,265,26.0,218,2625,3368,2675
218,2722,264,2755,13,96,1,266,27.0,218,2722,3368,2755
454,2739,466,2745,-,91,1,267,27.0,218,2722,3368,2755
593,2722,786,2754,PLASTIC,95,1,268,27.0,218,2722,3368,2755
803,2722,1013,2754,COURIER,95,1,269,27.0,218,2722,3368,2755
1031,2722,1128,2754,BAG,95,1,270,27.0,218,2722,3368,2755
1147,2722,1276,2754,16X19,95,1,271,27.0,218,2722,3368,2755
1906,2722,2007,2755,3923,96,1,272,27.0,218,2722,3368,2755
2146,2722,2217,2754,500,96,1,273,27.0,218,2722,3368,2755
2313,2722,2404,2754,PCS,95,1,274,27.0,218,2722,3368,2755
2509,2722,2596,2755,7.00,96,1,275,27.0,218,2722,3368,2755
2915,2722,2961,2754,18,96,1,276,27.0,218,2722,3368,2755
3203,2722,3368,2755,3500.00,96,1,277,27.0,218,2722,3368,2755
218,2816,267,2848,14,96,1,278,28.0,218,2816,3367,2849
380,2816,540,2848,C01704,90,1,279,28.0,218,2816,3367,2849
593,2816,786,2848,|PLASTIC,88,1,280,28.0,218,2816,3367,2849
803,2816,1013,2848,COURIER,95,1,281,28.0,218,2816,3367,2849
1031,2816,1128,2848,BAG,95,1,282,28.0,218,2816,3367,2849
1147,2816,1276,2848,16X19,95,1,283,28.0,218,2816,3367,2849
1290,2816,1405,2848,WITH,96,1,284,28.0,218,2816,3367,2849
1425,2816,1640,2848,PRINTING,96,1,285,28.0,218,2816,3367,2849
1906,2816,2007,2849,3923,96,1,286,28.0,218,2816,3367,2849
2133,2816,2232,2848,2000,92,1,287,28.0,218,2816,3367,2849
2313,2816,2404,2848,PCS,90,1,288,28.0,218,2816,3367,2849
2509,2816,2596,2848,7.50,96,1,289,28.0,218,2816,3367,2849
2915,2816,2961,2848,18,96,1,290,28.0,218,2816,3367,2849
3179,2816,3367,2848,15000.00,91,1,291,28.0,218,2816,3367,2849
218,2910,264,2942,15,95,1,292,29.0,218,2910,3368,2943
380,2910,538,2942,C01728,91,1,293,29.0,218,2910,3368,2943
593,2910,775,2942,|[NATRAJ,58,1,294,29.0,218,2910,3368,2943
794,2910,915,2942,BOLL,95,1,295,29.0,218,2910,3368,2943
933,2910,1054,2942,PENS,96,1,296,29.0,218,2910,3368,2943
1907,2910,2007,2942,9608,95,1,297,29.0,218,2910,3368,2943
2159,2910,2207,2942,20,96,1,298,29.0,218,2910,3368,2943
2313,2910,2404,2942,PCS,95,1,299,29.0,218,2910,3368,2943
2509,2910,2596,2943,2.80,96,1,300,29.0,218,2910,3368,2943
2915,2910,2962,2942,12,96,1,301,29.0,218,2910,3368,2943
3256,2910,3368,2942,56.00,95,1,302,29.0,218,2910,3368,2943
218,3003,264,3035,16,95,1,303,30.0,218,2999,3368,3049
380,3003,540,3036,C01734,90,1,304,30.0,218,2999,3368,3049
593,3003,652,3035,|HP,87,1,305,30.0,218,2999,3368,3049
667,3003,828,3035,TONER,96,1,306,30.0,218,2999,3368,3049
844,3003,1116,3035,CARTRIDGE,96,1,307,30.0,218,2999,3368,3049
1134,3003,1372,3035,REFILLING,96,1,308,30.0,218,2999,3368,3049
1906,3003,2002,3036,8443,96,1,309,30.0,218,2999,3368,3049
2172,3003,2194,3035,5,97,1,310,30.0,218,2999,3368,3049
2313,3003,2404,3035,PCS,94,1,311,30.0,218,2999,3368,3049
2409,2999,2451,3049,|,94,1,312,30.0,218,2999,3368,3049
2484,3003,2621,3035,125.00,96,1,313,30.0,218,2999,3368,3049
2915,3003,2961,3035,18,96,1,314,30.0,218,2999,3368,3049
3230,3003,3368,3035,625.00,95,1,315,30.0,218,2999,3368,3049
218,3097,264,3129,17,95,1,316,31.0,218,3093,3368,3143
454,3114,466,3120,-,92,1,317,31.0,218,3093,3368,3143
593,3097,652,3129,HP,96,1,318,31.0,218,3093,3368,3143
667,3097,828,3129,TONER,96,1,319,31.0,218,3093,3368,3143
845,3097,979,3129,DRUM,95,1,320,31.0,218,3093,3368,3143
996,3097,1193,3129,CHANGE,96,1,321,31.0,218,3093,3368,3143
1906,3097,2002,3130,8443,96,1,322,31.0,218,3093,3368,3143
2171,3097,2194,3129,5,96,1,323,31.0,218,3093,3368,3143
2313,3097,2404,3129,PCS,95,1,324,31.0,218,3093,3368,3143
2409,3093,2451,3143,|,95,1,325,31.0,218,3093,3368,3143
2483,3097,2621,3129,250.00,96,1,326,31.0,218,3093,3368,3143
2915,3097,2961,3129,18,96,1,327,31.0,218,3093,3368,3143
3205,3097,3368,3130,1250.00,96,1,328,31.0,218,3093,3368,3143
218,3190,264,3222,18,96,1,329,32.0,218,3186,3368,3236
454,3207,466,3213,-,91,1,330,32.0,218,3186,3368,3236
593,3190,652,3222,HP,95,1,331,32.0,218,3186,3368,3236
667,3190,828,3222,TONER,95,1,332,32.0,218,3186,3368,3236
844,3190,1116,3222,CARTRIDGE,93,1,333,32.0,218,3186,3368,3236
1134,3190,1253,3222,P.C.R,90,1,334,32.0,218,3186,3368,3236
1269,3190,1517,3222,CHANGING,96,1,335,32.0,218,3186,3368,3236
1906,3190,2002,3223,8443,96,1,336,32.0,218,3186,3368,3236
2172,3190,2194,3222,5,97,1,337,32.0,218,3186,3368,3236
2313,3190,2404,3222,PCS,95,1,338,32.0,218,3186,3368,3236
2409,3186,2451,3236,|,94,1,339,32.0,218,3186,3368,3236
2482,3190,2621,3222,275.00,96,1,340,32.0,218,3186,3368,3236
2915,3190,2961,3222,18,96,1,341,32.0,218,3186,3368,3236
3205,3190,3368,3222,1375.00,96,1,342,32.0,218,3186,3368,3236
218,3284,264,3316,19,96,1,343,33.0,218,3280,3368,3330
454,3301,466,3307,-,92,1,344,33.0,218,3280,3368,3330
593,3284,652,3316,HP,96,1,345,33.0,218,3280,3368,3330
667,3284,828,3316,TONER,96,1,346,33.0,218,3280,3368,3330
845,3284,1000,3316,BLADE,96,1,347,33.0,218,3280,3368,3330
1017,3284,1214,3316,CHANGE,96,1,348,33.0,218,3280,3368,3330
1906,3284,2002,3317,8443,96,1,349,33.0,218,3280,3368,3330
2172,3284,2194,3316,5,97,1,350,33.0,218,3280,3368,3330
2313,3284,2404,3316,PCS,95,1,351,33.0,218,3280,3368,3330
2409,3280,2451,3330,|,94,1,352,33.0,218,3280,3368,3330
2483,3284,2621,3316,225.00,94,1,353,33.0,218,3280,3368,3330
2915,3284,2961,3316,18,96,1,354,33.0,218,3280,3368,3330
3205,3284,3368,3317,1125.00,96,1,355,33.0,218,3280,3368,3330
217,3378,265,3410,20,96,1,356,34.0,217,3374,3368,3424
380,3378,539,3410,C01761,92,1,357,34.0,217,3374,3368,3424
593,3378,863,3410,|[KANGAROO,49,1,358,34.0,217,3374,3368,3424
880,3378,1093,3410,STAPLER,93,1,359,34.0,217,3374,3368,3424
1110,3378,1173,3410,HD,93,1,360,34.0,217,3374,3368,3424
1190,3378,1271,3410,10D,95,1,361,34.0,217,3374,3368,3424
1906,3378,2007,3410,8472,96,1,362,34.0,217,3374,3368,3424
2172,3378,2195,3410,5,96,1,363,34.0,217,3374,3368,3424
2313,3378,2404,3410,PCS,95,1,364,34.0,217,3374,3368,3424
2496,3374,2608,3424,75.00,96,1,365,34.0,217,3374,3368,3424
2915,3378,2961,3410,18,96,1,366,34.0,217,3374,3368,3424
3229,3378,3368,3411,375.00,96,1,367,34.0,217,3374,3368,3424
217,3471,266,3503,21,96,1,368,35.0,217,3467,3369,3517
454,3488,466,3494,-,91,1,369,35.0,217,3467,3369,3517
593,3471,775,3504,NATRAJ,91,1,370,35.0,217,3467,3369,3517
794,3471,915,3503,BOLL,96,1,371,35.0,217,3467,3369,3517
933,3471,1054,3503,PENS,96,1,372,35.0,217,3467,3369,3517
1907,3471,2007,3503,9608,96,1,373,35.0,217,3467,3369,3517
2172,3471,2194,3503,2,96,1,374,35.0,217,3467,3369,3517
2315,3467,2404,3517,PKT,90,1,375,35.0,217,3467,3369,3517
2509,3471,2596,3503,2.80,96,1,376,35.0,217,3467,3369,3517
2915,3471,2962,3503,12,96,1,377,35.0,217,3467,3369,3517
3282,3471,3369,3503,5.60,96,1,378,35.0,217,3467,3369,3517
274,3598,317,3635,%,92,1,379,36.0,274,3593,3352,3651
525,3593,642,3651,Total,95,1,380,36.0,274,3593,3352,3651
815,3599,954,3636,SGST,91,1,381,36.0,274,3593,3352,3651
971,3599,1070,3635,Amt,95,1,382,36.0,274,3593,3352,3651
1081,3593,1130,3651,|,91,1,383,36.0,274,3593,3352,3651
1133,3599,1275,3636,CGST,91,1,384,36.0,274,3593,3352,3651
1292,3599,1402,3635,Amt.,96,1,385,36.0,274,3593,3352,3651
1415,3593,1464,3651,|,91,1,386,36.0,274,3593,3352,3651
1500,3599,1617,3636,IGST,90,1,387,36.0,274,3593,3352,3651
1635,3599,1745,3635,Amt.,96,1,388,36.0,274,3593,3352,3651
